cell_id,pseudotime,size_factor,branch1_probability,branch2_probability
cell_0000,0.005463664477090346,3.2791529462423097,0.5057576804337338,0.4942423195662662
cell_0001,0.006707616237738301,3.66941306748519,0.48916474266436694,0.5108352573356331
cell_0002,0.00748905908674391,4.463556846548281,0.4887990887905017,0.5112009112094983
cell_0003,0.007742091096413106,2.506862252818344,0.48922094476478684,0.5107790552352132
cell_0004,0.008908607480560549,4.483522890634103,0.505164357787443,0.4948356422125571
cell_0005,0.010325002385075055,5.785046541544992,0.4964810260990752,0.5035189739009248
cell_0006,0.012847032742113074,3.2888314294647634,0.5081182457930242,0.4918817542069757
cell_0007,0.014670014174954615,3.827722381938548,0.5095964522447662,0.4904035477552338
cell_0008,0.017741257341339356,4.511660527080064,0.5074774413361243,0.4925225586638758
cell_0009,0.018271872718017113,3.082204266367868,0.5210681225262375,0.4789318774737626
cell_0010,0.018400967044427174,4.163244035092774,0.5163503781501817,0.48364962184981836
cell_0011,0.01863258231966136,4.42318570137848,0.5056655329050816,0.4943344670949183
cell_0012,0.01972994606038514,4.84240433295949,0.4978678622448983,0.5021321377551017
cell_0013,0.02001150401970686,4.115574986586955,0.4970395744599847,0.5029604255400153
cell_0014,0.020156310061003824,4.149222356512074,0.49487519187927476,0.5051248081207252
cell_0015,0.02355798407594778,4.981709141146656,0.49783225995118396,0.502167740048816
cell_0016,0.02416336626958837,4.163061800267927,0.5043876149102161,0.4956123850897839
cell_0017,0.025183931628811274,5.668126625681402,0.5095766958581627,0.49042330414183727
cell_0018,0.025662147744867636,3.498519466993277,0.49927038409083635,0.5007296159091637
cell_0019,0.026931379733834748,5.432888884803422,0.49159539267750696,0.508404607322493
cell_0020,0.027475276463361564,3.9578588293942576,0.5007510257490876,0.4992489742509124
cell_0021,0.02876819449276946,4.833603278055288,0.49995378362770215,0.5000462163722978
cell_0022,0.029875596253946868,5.028114602984347,0.49967737097855525,0.5003226290214448
cell_0023,0.03376533344135668,4.054498279049888,0.4955787463076644,0.5044212536923356
cell_0024,0.035671501359229696,3.754438762914946,0.4945369408580417,0.5054630591419583
cell_0025,0.03623766795870176,4.751736723497857,0.48630419646097844,0.5136958035390216
cell_0026,0.04038043893446597,4.23720963517369,0.49668810359306415,0.5033118964069359
cell_0027,0.04189813311496182,2.9097617456410685,0.5034233522410037,0.4965766477589963
cell_0028,0.041940351439002765,4.201529235892959,0.4959219329340002,0.5040780670659998
cell_0029,0.04276913251698833,4.000700940709767,0.49629078258577064,0.5037092174142294
cell_0030,0.04299319587592432,5.669706123751545,0.48695298333844095,0.513047016661559
cell_0031,0.04433408253271032,3.4629213180080534,0.4844263109694794,0.5155736890305206
cell_0032,0.04726218108080804,3.6184037783349994,0.5013627357634858,0.49863726423651417
cell_0033,0.04738514262896942,4.6922535683225375,0.4914751123502007,0.5085248876497993
cell_0034,0.049568864191481765,4.973177763751099,0.49376278383085237,0.5062372161691476
cell_0035,0.05252691919372421,4.283011962121213,0.5092316785373939,0.49076832146260607
cell_0036,0.053631216477358246,3.0120414176400976,0.48875986193452836,0.5112401380654716
cell_0037,0.05448160895381704,4.796175964325863,0.4963504864166428,0.5036495135833572
cell_0038,0.05532557901440971,3.464421692607916,0.4943332015030356,0.5056667984969644
cell_0039,0.05665824049915247,6.31962338695655,0.49615034953323967,0.5038496504667603
